티커,설명,가격,변화 %,변화,테크니컬 레이팅,거래량,볼륨*프라이스,마켓 캪,주가 수익 비율 (TTM),기초 주당 수익 (TTM),직원수,섹터
011070,LG이노텍보통주,307500,-0.96618357,-3000,바이,192415,59167612500,7347829396248,7.07605366,43880.3908,12415,일렉트로닉 테크놀로지
066970,엘앤에프,219600,-2.26969292,-5100,뉴트럴,505610,111031956000,7233318982315,96.85726829,3952.5769,1021,일렉트로닉 테크놀로지
086280,현대글로비스보통주,174000,0.86956522,1500,셀,53176,9252624000,6468750000000,5.95236405,28980.0823,1631,이송/배달
097950,씨제이제일제당 주식회사 보통주,394500,0.6377551,2500,셀,39167,15451381500,5985986736059,9.41764177,41624.0084,8156,이송/배달
383220,F&F보통주,159000,1.92307692,3000,바이,107331,17065629000,5974527923584,14.71923317,10598.3782,,컨슈머 논-듀어러블즈
326030,에스케이바이오팜보통주,77500,1.70603675,1300,바이,191967,14877442500,5967469473267,,-618.5998,245,헬쓰 테크놀로지
352820,하이브보통주,137000,-4.1958042,-6000,뉴트럴,146362,20051594000,5913534187317,21.56528369,6634.673,,코머셜 서비스
011170,롯데케미칼보통주,167000,-2.05278592,-3500,셀,199129,33254543000,5843959304810,26.51877496,6429.4071,4644,프로세스 인더스트리
402340,SK스퀘어보통주,38500,-1.78571429,-700,셀,303755,11694567500,5541880000000,3.74583565,10573.1204,80,파이낸스
009540,한국조선해양보통주,78100,0.6443299,500,뉴트럴,110664,8642858400,5487455297852,,-9051.9661,649,프로듀서 매뉴팩처링
034220,LG디스플레이보통주,14850,3.125,450,바이,2393482,35543207700,5152546142578,,-2790.4645,27702,일렉트로닉 테크놀로지
032640,LG유플러스보통주,12050,0.83682008,100,바이,654984,7892557200,5143176721191,8.61152709,1387.6749,10187,커뮤니케이션
028050,삼성엔지니어링보통주,25550,1.38888889,350,바이,1118544,28578799200,4939200000000,10.23660657,2461.7533,5265,인더스트리얼 서비스
035250,강원랜드보통주,24050,0,0,뉴트럴,363213,8735272650,4875872911835,51.1127164,470.5287,3858,컨슈머 서비스
018880,한온시스템보통주,8770,0.11415525,10,뉴트럴,390736,3426754720,4674935683594,30.74624938,285.824,2240,프로듀서 매뉴팩처링
010140,삼성중공업보통주,5330,-1.11317254,-60,셀,3093033,16485865890,4632448749637,,-798.5035,9279,프로듀서 매뉴팩처링
000720,현대건설보통주,41050,0.36674817,150,바이,927885,38089679250,4620791030192,6.88122575,5943.708,6324,인더스트리얼 서비스
088980,맥쿼리한국인프라투융자회사 보통주,11150,-0.88888889,-100,셀,767344,8555885600,4554520000000,15.11608143,744.2405,,파이낸스
361610,SK아이이테크놀로지보통주,61700,-0.80385852,-500,뉴트럴,314107,19380401900,4434710232544,,-674.6447,272,프로세스 인더스트리
271560,오리온보통주,110500,-1.33928571,-1500,바이,105239,11628909500,4427224426270,14.5876004,7677.7535,1407,컨슈머 논-듀어러블즈
004020,현대제철 보통주,33000,-1.04947526,-350,바이,301476,9948708000,4387050115204,2.69187677,12389.1258,11495,비에너지 미네럴
267250,에이치디현대보통주,62900,1.4516129,900,바이,113400,7132860000,4381442443848,3.89419233,15921.1448,,프로듀서 매뉴팩처링
078930,GS보통주,46300,-0.32292788,-150,셀,122572,5675083600,4378797016579.001,1.98013753,23457.9666,61,프로듀서 매뉴팩처링
